Domaine,Metier,Competence,Type_Competence,Indicateurs_Observables,Modalites_Evaluation,Preuves_Attendues,Situations_Professionnelles_Type,Outils_SI_ou_Materiels,Reglementation_ou_Normes,Formation_ou_Activites_Pedago,Mots_Cles
1. CONDUIRE,Batelier - Marinier,Maintenir aptitude sensorielle et endurance en environnement confiné,Physique,"Vigilance, gestion fatigue, respect repos",Auto-évaluation + consignes,Plan prévention,Vie à bord prolongée,â,Prévention fatigue,Module,"fatigue, vigilance"
2. MANIPULER,Agent de Quai / Manutentionnaire,"Réaliser filmage, palettisation et manutention avec qualité et sécurité",Technique,"Palette stable, filmage uniforme, absence casse",Mise en situation + audit,Photos + check-list qualité,Préparation expédition,"Filmeuse, transpalette",Sécurité EPI,TP,"palettisation, filmage"
2. MANIPULER,Agent de Quai / Manutentionnaire,Utiliser un transpalette manuel/électrique en respectant sécurité et flux,Technique,"Conduite sûre, respect zones, pas de heurt",Mise en situation,Grille observation,Chargement quai,Transpalette,Règles quai,TP,"transpalette, sécurité"
2. MANIPULER,Agent de Quai / Manutentionnaire,"Lire et exploiter les étiquettes et documents de tri (codes, destinations)",Technique,"Zéro erreur de tri, cohérence scan/étiquette",Exercice tri + QCM,Résultats tri + score,Cross-docking,Scanner,Procédures traçabilité,TP,"tri, étiquetage"
2. MANIPULER,Agent de Quai / Manutentionnaire,Trier les flux en cross-docking en respectant priorités et délais,Organisationnelle,"Temps de passage réduit, respect priorités, pas d’erreur quai",Simulation flux,KPI temps + erreurs,Rush quai,WMS/tri,SLA,Serious game,"cross-docking, délai"
2. MANIPULER,Agent de Quai / Manutentionnaire,"Appliquer les règles de sécurité (EPI, circulation, posture) et maintenir un quai rangé",Organisationnelle,"Port EPI, zones dégagées, rangement conforme",Audit sécurité,Check-list audit,Fin de poste,EPI,Règles sécurité site,Visite sécurité,"sécurité, 5S"
2. MANIPULER,Agent de Quai / Manutentionnaire,Collaborer en équipe et communiquer efficacement en environnement cadencé,Comportementale,"Aide spontanée, consignes claires, pas de conflit",Observation + jeu de rôle,Grille soft skills,Pic d’activité,Talkie-walkie,â,Exercice,"équipe, communication"
2. MANIPULER,Agent de Quai / Manutentionnaire,"Soutenir effort physique (debout, port de charges, gestes répétitifs) en limitant risques",Physique,"Gestes sûrs, pauses, usage aides",Observation,Grille gestes,Poste quai,Aides manutention,Prévention TMS,TP,"port de charges, TMS"
2. MANIPULER,Cariste,Conduire un chariot (CACES 1/3/5) selon consignes et environnement,Technique,"Contrôles pré-op, manœuvres sûres, respect plan circulation",Mise en situation + observation,Grille observation,Réception/stockage,"Chariot, EPI",Règles sécurité,TP,"CACES, conduite"
2. MANIPULER,Cariste,Réaliser un gerbage grande hauteur en sécurité et avec précision,Technique,"Palette stable, hauteur maîtrisée, zéro choc rack",Mise en situation,Grille observation,Stockage,Chariot m,Sécurité entrepôt,TP,"gerbage, hauteur"
2. MANIPULER,Cariste,"Utiliser un WMS embarqué (scan, missions, anomalies) pour assurer traçabilité",Technique,"Missions validées, anomalies traitées, stocks fiables",Exercice WMS + cas,Exports WMS + captures,Réassort,"WMS, PDA",Traçabilité,TP SI,"WMS, traçabilité"
2. MANIPULER,Cariste,"Optimiser le stockage (adressage, densité, rotation) selon règles FIFO/ABC",Organisationnelle,"Choix emplacement justifié, réduction déplacements, respect rotation",Étude de cas + optimisation,Plan dâimplantation + KPI,Réorganisation zone,WMS/Excel,FIFO/ABC,Projet,"implantation, FIFO, ABC"
2. MANIPULER,Cariste,"Effectuer une maintenance de premier niveau (batterie, état fourches, signalement)",Organisationnelle,"Entretien réalisé, anomalies signalées, arrêt si danger",Audit + QCM,Fiche maintenance,Début/fin poste,Chariot,Procédures sécurité,TP,maintenance N1
2. MANIPULER,Cariste,"Faire preuve de prudence, concentration et précision dans un environnement à risque",Comportementale,"Pas de prise de risque, attention constante, gestes maîtrisés",Observation,Grille soft skills,Pic d’activité,â,Culture sécurité,Atelier,"prudence, concentration"
2. MANIPULER,Cariste,"Maintenir aptitude physique (vision relief, résistance vibrations, torsion) et prévenir TMS",Physique,"Postures adaptées, pauses, réglages poste",Auto-évaluation + observation,Plan prévention,Poste chariot,EPI,Prévention TMS,TP,"TMS, ergonomie"
2. MANIPULER,Préparateur de commandes,Utiliser la commande vocale (voice picking) et appliquer les instructions,Technique,"Taux dâerreur faible, confirmations correctes, rythme stable",Mise en situation,KPI erreurs + temps,Prépa multi-lignes,Casque voice,Procédures WMS,TP,voice picking
2. MANIPULER,Préparateur de commandes,"Emballer et protéger les produits selon contraintes (fragile, température, volume)",Technique,"Emballage adapté, pas de casse, conformité",Atelier + audit,Photos + contrôle,Prépa e-commerce,Matériel emballage,Qualité,TP,"packing, qualité"
2. MANIPULER,Préparateur de commandes,Constituer des palettes stables et conformes aux règles de chargement,Technique,"Stabilité, répartition masses, filmage",Mise en situation,Check-list,Expédition palettes,Filmeuse,Sécurité,TP,palettisation
2. MANIPULER,Préparateur de commandes,Respecter les cadences et organiser son circuit de chasse,Organisationnelle,"Parcours optimisé, temps conforme, pas d’oubli",Simulation + chrono,KPI productivité,Prépa vague,WMS,SLA,Serious game,"cadence, picking"
2. MANIPULER,Préparateur de commandes,Assurer une qualité “zéro erreur” par auto-contrôle et traitement anomalies,Organisationnelle,"Taux erreur faible, anomalies escaladées, traçabilité",Audit + cas,Rapport anomalies,Rupture stock,WMS,Procédures qualité,TP,"zéro défaut, qualité"
2. MANIPULER,Préparateur de commandes,"Adopter dynamisme, rigueur et honnêteté (intégrité stock)",Comportementale,"Respect règles, pas d’écarts, posture pro",Entretien + cas,Grille soft skills,Tentations/écarts,â,Éthique,Cas,"intégrité, rigueur"
2. MANIPULER,Préparateur de commandes,Soutenir marche intensive et port de charges en sécurité,Physique,"Gestes sûrs, usage aides, gestion fatigue",Observation,Grille gestes,Prépa journée complète,"Chaussures, EPI",Prévention TMS,TP,"marche, port de charges"
2. MANIPULER,Déménageur,Emballer le mobilier et protéger les objets selon fragilité et valeur,Technique,"Protection adaptée, zéro casse, étiquetage",Atelier,Photos + check-list,Déménagement appartement,"Cartons, couvertures",Qualité,TP,"emballage, fragile"
2. MANIPULER,Déménageur,Monter/démonter des meubles en respectant méthodes et outillage,Technique,"Assemblage correct, pas de perte pièces, sécurité",Mise en situation,Check-list,Démontage lit/armoire,Outillage,Sécurité,TP,"montage, outillage"
2. MANIPULER,Déménageur,"Charger un camion en optimisant volumes, stabilité et accessibilité",Technique,"Répartition masses, calage, optimisation espace",Atelier + audit,Photos chargement,Camion complet,"Sangles, cales",Sécurité,TP,"chargement, calage"
2. MANIPULER,Déménageur,Coordonner une équipe et gérer le temps chez le client,Organisationnelle,"Brief clair, séquencement t respect délai",Jeu de rôle + observation,Plan dâaction,Déménagement avec contraintes,â,â,Exercice,"coordination, timing"
2. MANIPULER,Déménageur,"Adopter politesse, discrétion et soin des biens chez le client",Comportementale,"Respect domicile, communication, attention",Jeu de rôle,Grille soft skills,Client exigeant,â,Charte service,Jeu de rôle,"discrétion, soin, client"
2. MANIPULER,Déménageur,Assumer efforts lourds et gestes répétitifs en sécurité (prévention blessures),Physique,"Gestes sûrs, usage sangles, pas de surcharge",Observation,Grille gestes,Port piano/charges,"Sangles, diable",Prévention TMS,TP,"force, endurance"
3. RÉPARER & ENTRETENIR,Mécanicien Poids Lourds,Réaliser un diagnostic électronique à l’aide d’une valise et interpréter codes défaut,Technique,"Diagnostic cohérent, hypothèses, tests confirmatoires",TP atelier + étude de cas,Rapport diagnostic,Panne freinage ABS,Valise diag,Procédures atelier,TP,"diagnostic, électronique"
3. RÉPARER & ENTRETENIR,Mécanicien Poids Lourds,Intervenir sur systèmes hydraulique/pneumatique en respectant sécurité,Technique,"Intervention correcte, purge, contrôle étanchéité",TP,Fiche intervention,Panne air,Outillage,Consignes sécurité,TP,"hydraulique, pneumatique"
3. RÉPARER & ENTRETENIR,Mécanicien Poids Lourds,Réaliser opérations de maintenance sur moteur/freins selon plan,Technique,"Procédure respectée, couple serrage, essai",TP,Ordre de réparation,Révision,Outillage,Normes constructeur,TP,"freins, maintenance"
3. RÉPARER & ENTRETENIR,Mécanicien Poids Lourds,Planifier les entretiens et organiser les interventions en atelier,Organisationnelle,"Planning réaliste, priorités, disponibilité",Étude de cas,Planning atelier,Flotte 20 PL,GMAO,â,Projet,"planification, GMAO"
3. RÉPARER & ENTRETENIR,Mécanicien Poids Lourds,"Gérer les pièces détachées (commande, stock, traçabilité)",Organisationnelle,"Disponibilité pièces, stock fiable, traçabilité",Cas + exercice,Bon de commande + inventaire,Rupture pièce critique,ERP/GMAO,Procédures achats,TD,"pièces, stock"
3. RÉPARER & ENTRETENIR,Mécanicien Poids Lourds,"Faire preuve d’habileté, autonomie et raisonnement logique en dépannage",Comportementale,"Hypothèses structurées, autonomie, sécurité",Entretien + cas,Arbre de diagnostic,Panne intermittente,â,Culture sécurité,Atelier,"raisonnement, autonomie"
3. RÉPARER & ENTRETENIR,Mécanicien Poids Lourds,"Travailler en conditions physiques contraignantes en sécurité (bruit, postures)",Physique,"EPI, postures, pauses, respect consignes",Observation,Audit EPI,Atelier,EPI,Sécurité au travail,Module,"postures, bruit"
3. RÉPARER & ENTRETENIR,Responsable de Parc,"Gérer une flotte de véhicules (affectation, disponibilité, suivi)",Technique,"Taux dispo, suivi kilométrage, reporting",Étude de cas + projet,Tableau de bord flotte,Flotte multi-sites,Outil flotte/Excel,â,Projet,"fleet, disponibilité"
3. RÉPARER & ENTRETENIR,Responsable de Parc,Assurer le suivi des contrôles techniques et conformité réglementaire,Technique,"Échéances respectées, aucun véhicule non conforme",Audit + cas,Planning échéances,Contrôle technique à venir,Outil flotte,Réglementations,TD,"conformité, CT"
3. RÉPARER & ENTRETENIR,Responsable de Parc,Négocier des contrats de maintenance et piloter prestataires,Technique,"Comparatif offres, clauses, suivi qualité",Étude de cas + négociation,Analyse offres + CR,Renouvellement contrat,â,Droit commercial (bases),Jeu de rôle,"contrat, négociation"
3. RÉPARER & ENTRETENIR,Responsable de Parc,Suivre les coûts d’entretien (TCO) et proposer optimisations,Organisationnelle,"Calcul TCO, analyse dérives, actions",Projet Excel/BI,Dashboard coûts,Budget annuel,Excel/BI,Gestion budgétaire,Projet,"TCO, coûts"
3. RÉPARER & ENTRETENIR,Responsable de Parc,Planifier disponibilité véhicules en lien exploitation,Organisationnelle,"Plan réaliste, arbitrages, communication",Étude de cas,Planning,Pic saisonnier,â,â,TD,"planning, coordination"
3. RÉPARER & ENTRETENIR,Responsable de Parc,Faire preuve de rigueur administrative et sens de la négociation,Comportementale,"Dossiers complets, négociation argumentée",Entretien + cas,Dossier complet,Litige facture,â,â,Exercice,"rigueur, négociation"
3. RÉPARER & ENTRETENIR,Responsable de Parc,Assurer présence terrain et déplacements sur parc en sécurité,Physique,"Respect circulation parc, EPI",Observation,Audit sécurité,Visite parc,EPI,Sécurité site,Visite sécurité,"terrain, EPI"
4. PLANIFIER & COORDONNER,Responsable d'Exploitation,Appliquer la réglementation transport (RSE) dans l’organisation des tournées,Technique,"Plans conformes, contrôles infractions, actions correctives",Étude de cas + QCM,Planning + score,Gestion tournée,TMS,RSE,TD,"exploitation, RSE"
4. PLANIFIER & COORDONNER,Responsable d'Exploitation,"Exploiter un TMS/SAEIV pour planifier, suivre et tracer les opérations",Technique,"Plans optimisés, suivi temps réel, traçabilité",TP outil + cas,Exports TMS + captures,Aléas livraison,TMS/SAEIV,â,TP SI,"TMS, tracking"
4. PLANIFIER & COORDONNER,Responsable d'Exploitation,Calculer la rentabilité d’une tournée/dossier et proposer arbitrages,Technique,"Marge calculée, hypothèses, recommandations",Étude de cas chiffrée,Tableau marge,Dossier Ã  faible marge,Excel,Contrôle de gestion (bases),TD,"rentabilité, marge"
4. PLANIFIER & COORDONNER,Responsable d'Exploitation,"Gérer les aléas en temps réel (panne, retard, client) et replanifier",Organisationnelle,"Décisions rapides, impacts évalués, communication",Simulation crise,CR décisions,Accident + urgence,"TMS, téléphone",Procédures,Serious game,"aléas, replanif"
4. PLANIFIER & COORDONNER,Responsable d'Exploitation,"Manager les conducteurs (brief, suivi, règles, performance)",Organisationnelle,"Brief clair, feedback, suivi KPI",Jeu de rôle + cas,Plan dâanimation,Équipe 30 conducteurs,KPI,Droit du travail (bases),Jeu de rôle,"management, briefing"
4. PLANIFIER & COORDONNER,Responsable d'Exploitation,Faire preuve de leadership et résistance au stress dans la décision,Comportementale,"Décisions assumées, calme, écoute",Entretien + simulation,Grille soft skills,Crise service,â,â,Atelier,"leadership, stress"
4. PLANIFIER & COORDONNER,Responsable d'Exploitation,Assurer disponibilité/astreintes en gérant charge mentale et récupération,Physique,"Organisation repos, prévention épuisement",Entretien,Plan prévention,Astreinte week-end,â,Prévention RPS,Atelier,"astreinte, fatigue"
4. PLANIFIER & COORDONNER,Affréteur,Utiliser une bourse de fret et qualifier une offre/demande,Technique,"Offres pertinentes, critères complets, réactivité",Étude de cas + simulation,Dossier affrètement,Lot spot,Bourse de fret,â,TP,"affrètement, spot"
4. PLANIFIER & COORDONNER,Affréteur,Appliquer Incoterms et bases de droit commercial dans la vente/achat transport,Technique,"Incoterm correct, responsabilités clarifiées",QCM + cas,Correction cas,Export UE,â,Incoterms,TD,"incoterms, droit"
4. PLANIFIER & COORDONNER,Affréteur,Construire et animer un réseau de sous-traitants,Organisationnelle,"Base qualifiée, évaluations, continuité service",Projet,Base sous-traitants,Saisonnalité,CRM/Excel,â,Projet,"réseau, sous-traitance"
4. PLANIFIER & COORDONNER,Affréteur,Suivre la marge par dossier et piloter la profitabilité,Organisationnelle,"Marge calculée, alertes, actions",Étude de cas chiffrée,Tableau marge,Dossier déficitaire,Excel,â,TD,"profitabilité, marge"
4. PLANIFIER & COORDONNER,Affréteur,"Développer ténacité commerciale, persuasion et réactivité",Comportementale,"Argumentaire, relances, gestion objections",Jeu de rôle,Grille soft skills,Négociation prix,Téléphone,â,Jeu de rôle,"commercial, persuasion"
4. PLANIFIER & COORDONNER,Affréteur,Soutenir un travail sédentaire intensif (téléphone/écran) et gérer fatigue,Physique,"Hygiène posture, gestion attention",Auto-évaluation,Plan prévention,Journée appels,â,Ergonomie,Module,"posture, fatigue visuelle"
4. PLANIFIER & COORDONNER,Demand Planner (Prévisionniste),Modéliser statistiquement la demande et choisir un modèle adapté,Technique,"Choix modèle justifié, backtesting, MAPE suivi",Projet data + soutenance,Rapport + fichiers,Série saisonnière,Excel/Python/R,â,Projet data,"forecast, stats"
4. PLANIFIER & COORDONNER,Demand Planner (Prévisionniste),"Maîtriser Excel avancé (TCD, fonctions, VBA si pertinent) pour automatiser analyses",Technique,"Fichiers robustes, automatisations, contrôle erreurs",TP Excel,Fichier Excel annoté,Conso données,Excel/VBA,â,TP,"Excel, VBA"
4. PLANIFIER & COORDONNER,Demand Planner (Prévisionniste),Utiliser un ERP (SAP/APO ou équivalent) pour données prévision/plan,Technique,"Données extraites, cohérence, paramétrage basique",TP outil / cas,Exports ERP,Cycle mensuel,ERP,â,TP,"ERP, SAP"
4. PLANIFIER & COORDONNER,Demand Planner (Prévisionniste),Contribuer au processus S&OP et coordonner ventes/production/logistique,Organisationnelle,"Rituels tenus, inputs complets, décisions tracées",Jeu de rôle S&OP,CR S&OP,Réunion mensuelle,"BI, ERP",S&OP,Serious game,"s&op, coordination"
4. PLANIFIER & COORDONNER,Demand Planner (Prévisionniste),Formuler des recommandations chiffrées et argumentées (force de proposition),Comportementale,"Recommandations claires, impact coût/service",Oral + dossier,Note dâarbitrage,Rupture vs stock,Excel/BI,â,Oral,"analyse, recommandation"
4. PLANIFIER & COORDONNER,Demand Planner (Prévisionniste),Soutenir concentration visuelle et charge cognitive sur écran,Physique,"Gestion pauses, qualité attention",Auto-évaluation,Plan prévention,Travail data,â,Ergonomie,Module,fatigue visuelle
4. PLANIFIER & COORDONNER,Gestionnaire de Stocks,Appliquer les méthodes FIFO/ABC et analyser la rotation des stocks,Technique,"Classement ABC correct, respect FIFO, rotation mesurée",Étude de cas,Analyse rotation,Produit périssable,Excel/WMS,â,TD,"FIFO, ABC"
4. PLANIFIER & COORDONNER,Gestionnaire de Stocks,Réaliser des inventaires (tournants/généraux) et traiter écarts,Technique,"Procédure correcte, écarts analysés, actions",Mise en situation + audit,PV inventaire,Inventaire tournant,WMS,Procédures inventaire,TP,"inventaire, écarts"
4. PLANIFIER & COORDONNER,Gestionnaire de Stocks,"Paramétrer des règles WMS (seuils, emplacements, statuts) niveau utilisateur",Technique,"Paramétrage cohérent, test, documentation",TP WMS,Paramétrage + captures,Réglage réassort,WMS,â,TP,paramétrage WMS
4. PLANIFIER & COORDONNER,Gestionnaire de Stocks,Calculer des seuils de réapprovisionnement et proposer politiques stock,Organisationnelle,"Seuils justifiés, prise en compte délai/service",Étude de cas chiffrée,Calculs + note,Variation demande,Excel,â,TD,"réappro, stock de sécurité"
4. PLANIFIER & COORDONNER,Gestionnaire de Stocks,Optimiser la surface et lâimplantation stockage,Organisationnelle,"Gain espace, réduction déplacements",Projet implantation,Plan + KPI,Réaménagement zone,"Plan, WMS",5S/Lean (bases),Projet,"implantation, surface"
4. PLANIFIER & COORDONNER,Gestionnaire de Stocks,"Faire preuve de méthode, anticipation et sens de l’économie",Comportementale,"Priorités claires, décisions sobres, rigueur",Entretien + cas,Plan dâaction,Budget serré,â,â,Exercice,"méthode, anticipation"
4. PLANIFIER & COORDONNER,Gestionnaire de Stocks,"Assurer déplacements entrepôt en sécurité (circulation, coactivité)",Physique,"Respect règles, vigilance",Observation,Audit sécurité,Visite zones,EPI,Sécurité site,Visite,"coactivité, sécurité"
5. ANALYSER & CONSEILLER,Responsable Douane,Appliquer le Code des douanes (CDU) et déterminer le régime applicable,Technique,"Régime correct, justification, documentation",Étude de cas + QCM,Dossier douane,Import hors UE,â,CDU,TD,"douane, CDU"
